Speaker,Modern Thai,Thai Boran
A,"ฉันกำลังคิดว่าจะจัดงานเลี้ยงสังสรรค์เล็กๆ ที่บ้าน เธออยากมาไหม","ข้ากำลังคิดว่าจะจัดงานเลี้ยงสังสรรค์เล็กๆ ที่เรือน ท่านใคร่มาฤๅไม่"
B,"ฉันอยากไปมากๆ เลยค่ะ/ครับ งั้นฉันจะช่วยเตรียมงานด้วยนะ","ข้าใคร่ไปมากๆ เลยหนา หากเป็นเช่นนั้นข้าจักช่วยเตรียมงานด้วยหนา"
A,"ขอบคุณมากเลยนะที่ช่วย ฉันดีใจมากที่เธอมา","ขอบใจยิ่งนักที่ช่วย ข้าดีใจมากที่ท่านมา"
B,"ไม่เป็นไรเลยนะ ฉันก็ดีใจที่ได้มาช่วยเหมือนกัน","มิเป็นไรเลยหนา ข้าก็ดีใจที่ได้มาช่วยเช่นกัน"
A,"ฉันรู้สึกว่าตัวเองอยากจะลองทำกิจกรรมศิลปะดูบ้าง เธอมีอะไรแนะนำไหม","เรารู้สึกว่าตนเองใคร่จักลองทำกิจกรรมศิลปะดูบ้าง ท่านมีสิ่งใดแนะนำฤๅไม่"
B,"ลองวาดรูป หรือไม่ก็ลองทำเครื่องประดับแฮนด์เมดไหม","จงลองวาดรูป หากไม่ก็จงลองทำเครื่องประดับแฮนด์เมดฤๅไม่"
A,"น่าสนใจมากเลยค่ะ/ครับ ฉันจะลองดู ขอบคุณสำหรับคำแนะนำนะคะ/ครับ","น่าสนใจยิ่งนัก ข้าจักลองดู ขอบใจสำหรับคำแนะนำหนอ"
B,"ถ้าทำอะไรแล้วก็มาเล่าให้ฟังด้วยนะ ฉันอยากรู้","หากทำสิ่งใดแล้วจงมาเล่าให้ฟังด้วยหนา ข้าใคร่รู้"
A,"ฉันอยากจะไปเรียนเต้น เธอสนใจไปเรียนด้วยกันไหม","ข้าใคร่จักไปศึกษาเต้น ท่านสนใจไปศึกษาด้วยกันฤๅไม่"
B,"ฉันก็สนใจเหมือนกันนะ การเต้นเป็นกิจกรรมที่สนุกมาก","เราก็สนใจเช่นกันหนา การเต้นเป็นกิจกรรมที่สนุกสนานมาก"
A,"งั้นเราลองหาคอร์สเรียนเต้น แล้วมาเรียนด้วยกันไหม","หากเป็นเช่นนั้นเราจงลองหาคอร์สเรียนเต้น แล้วมาศึกษาด้วยกันฤๅไม่"
B,"ดีเลย ฉันเห็นด้วย เรามาเริ่มกันเลยนะ","ดีเลยหนา เราเห็นด้วย เราจงมาเริ่มกันเลยหนา"
A,"ฉันอยากจะไปเดินป่า เธอสนใจไปด้วยกันไหม","ข้าใคร่จักไปเดินป่า ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็สนใจเหมือนกันนะ การเดินป่าเป็นกิจกรรมที่น่าผ่อนคลายมากๆ","เราก็สนใจเช่นกันหนา การเดินป่าเป็นกิจกรรมที่น่าผ่อนคลายยิ่งนัก"
A,"งั้นเราลองหาเส้นทางเดินป่า แล้วมาคุยกันอีกทีไหม","หากเป็นเช่นนั้นเราจงลองหาเส้นทางเดินป่า แล้วมาสนทนากันอีกคราฤๅไม่"
B,"ดีเลย ฉันเห็นด้วย เรามาวางแผนกันเลยนะ","ดีเลยหนา เราเห็นด้วย เราจงมาวางแผนกันเลยหนา"
A,"ฉันอยากจะไปเที่ยวชมเมืองเก่า เธอสนใจไปด้วยกันไหม","ข้าใคร่จักไปเที่ยวชมเมืองเก่า ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็สนใจเหมือนกันนะ การไปเที่ยวชมเมืองเก่าเป็นสิ่งที่น่าสนใจมาก","เราก็สนใจเช่นกันหนา การไปเที่ยวชมเมืองเก่าเป็นสิ่งที่น่าสนใจยิ่งนัก"
A,"งั้นเราลองหาข้อมูล แล้วมาคุยกันอีกทีไหม","หากเป็นเช่นนั้นเราจงลองหาข้อมูล แล้วมาสนทนากันอีกคราฤๅไม่"
B,"ดีเลย ฉันเห็นด้วย เรามาวางแผนกันเลยนะ","ดีเลยหนา เราเห็นด้วย เราจงมาวางแผนกันเลยหนา"
