Speaker,Modern Thai,Thai Boran
A,"วันนี้อากาศดีจังเลยเนอะ อยากออกไปข้างนอก","วันนี้อากาศดีนักหนา อยากออกไปภายนอก"
B,"จริงด้วย ไปเดินเล่นที่สวนสาธารณะกันไหม","จริงด้วย ไปเดินเล่นที่สวนสาธารณะกันฤๅไม่"
A,"ดีเลย ฉันชอบความคิดนี้","ดีเลย ข้าชอบความคิดนี้"
B,"งั้นไปกันเลยนะ","หากเป็นเช่นนั้นไปกันเลยหนา"
A,"ฉันอยากกินอะไรหวานๆ จังเลย","ข้าอยากกินสิ่งใดหวานๆ ยิ่งนัก"
B,"งั้นไปร้านขนมที่เราชอบกันไหม","หากเป็นเช่นนั้นไปร้านขนมที่เราชอบกันฤๅไม่"
A,"ความคิดดีเลย ไปกัน","ความคิดดีเลย ไปกัน"
B,"ไปกันเลย","ไปกันเลย"
A,"ฉันรู้สึกเบื่อๆ อยากหาอะไรทำ","ข้ารู้สึกเบื่อๆ อยากหาสิ่งใดทำ"
B,"ลองดูหนังที่บ้านไหม มีหนังสนุกหลายเรื่องเลยนะ","จงลองดูหนังที่เรือนฤๅไม่ มีหนังสนุกหลายเรื่องเลยหนา"
A,"ก็น่าสนใจนะ งั้นดูหนังกัน","ก็น่าสนใจหนา หากเป็นเช่นนั้นดูหนังกัน"
B,"โอเค ไปหาหนังดูกัน","โอเค ไปหาหนังดูกัน"
A,"ฉันอยากไปเที่ยวทะเลจังเลย","ข้าอยากไปเที่ยวทะเลยิ่งนัก"
B,"ฉันก็เหมือนกัน ไปช่วงวันหยุดยาวไหม","ข้าก็เช่นกัน ไปช่วงวันหยุดยาวฤๅไม่"
A,"ดีเลย งั้นเรามาวางแผนกัน","ดีเลย หากเป็นเช่นนั้นเรามาวางแผนกัน"
B,"ตกลง แล้วเจอกัน","ตกลง แล้วพบกัน"
A,"ฉันอยากลองทำอาหารเมนูใหม่","ข้าอยากลองทำอาหารเมนูใหม่"
B,"ทำอะไรดีล่ะ ลองทำอาหารอิตาลีไหม","ทำสิ่งใดดีล่ะ จงลองทำอาหารอิตาลีฤๅไม่"
A,"น่าสนใจมากเลย เดี๋ยวฉันไปดูสูตร","น่าสนใจยิ่งนัก เดี๋ยวข้าไปดูสูตร"
B,"ฉันจะช่วยเตรียมของเอง","ข้าจักช่วยเตรียมของเอง"
A,"วันนี้รู้สึกเหนื่อยๆ จังเลย","วันนี้รู้สึกเหนื่อยๆ ยิ่งนัก"
B,"งั้นพักผ่อนหน่อยไหม เดี๋ยวฉันทำน้ำชาให้","หากเป็นเช่นนั้นพักผ่อนหน่อยฤๅไม่ เดี๋ยวข้าทำน้ำชาให้"
A,"ขอบคุณมากเลยนะ","ขอบใจมากเลยหนา"
B,"ไม่เป็นไร พักผ่อนเยอะๆ นะ","มิเป็นไร พักผ่อนเยอะๆ หนอ"
A,"ฉันอยากอ่านหนังสือเล่มใหม่","ข้าอยากอ่านหนังสือเล่มใหม่"
B,"ไปร้านหนังสือด้วยกันไหม มีหนังสือออกใหม่เยอะเลย","ไปร้านหนังสือด้วยกันฤๅไม่ มีหนังสือออกใหม่เยอะเลย"
A,"ดีเลย ไปกัน","ดีเลย ไปกัน"
B,"ไปกันเลย","ไปกันเลย"
A,"ฉันอยากเรียนภาษาใหม่จัง","ข้าอยากศึกษาภาษาใหม่ยิ่งนัก"
B,"ลองเรียนภาษาญี่ปุ่นไหม ฉันว่าน่าสนใจดีนะ","จงลองศึกษาภาษาญี่ปุ่นฤๅไม่ ข้าว่าน่าสนใจดีหนา"
A,"ก็ดีนะ เดี๋ยวลองหาคอร์สเรียนดู","ก็ดีหนา เดี๋ยวลองหาคอร์สเรียนดู"
B,"ถ้าเจอแล้วบอกด้วยนะ","หากพบแล้วบอกด้วยหนา"
A,"วันนี้อยากไปร้านกาแฟใหม่","วันนี้อยากไปร้านกาแฟใหม่"
B,"ร้านไหนเหรอ ลองแนะนำมาสิ","ร้านไหนฤๅ ลองแนะนำมาสิ"
A,"ร้านที่เพิ่งเปิดใหม่ใกล้บ้านฉัน","ร้านที่เพิ่งเปิดใหม่ใกล้เรือนข้า"
