Speaker,Modern Thai,Thai Boran
A,"ฉันรู้สึกว่าช่วงนี้ชีวิตมันวุ่นวายมากเลย อยากหาเวลาไปพักผ่อนที่ไหนสักที่","ข้ารู้สึกว่าช่วงนี้ชีวิตมันวุ่นวายมากยิ่งนัก อยากหาเวลาไปพักผ่อนที่ไหนสักแห่ง"
B,"ฉันก็รู้สึกเหมือนกัน ลองไปเที่ยวทะเลสักสองสามวันไหม จะได้ผ่อนคลาย","เราก็รู้สึกเช่นกัน จงลองไปเที่ยวทะเลสักสองสามวันฤๅไม่ จะได้ผ่อนคลาย"
A,"ไอเดียดีเลย ฉันอยากไปทะเลมากๆ เลยด้วย งั้นเรามาวางแผนกันดีไหม","ไอเดียดีเลย ข้าอยากไปทะเลมากๆ เลยด้วย หากเป็นเช่นนั้นเรามาวางแผนกันดีฤๅไม่"
B,"ตกลงเลย ฉันจะช่วยหาข้อมูลที่พักและกิจกรรมต่างๆ ที่น่าสนใจ","ตกลงเลย ข้าจักช่วยหาข้อมูลที่พักและกิจกรรมต่างๆ ที่น่าสนใจ"
A,"ขอบคุณมากๆ เลยนะที่เข้าใจและอยากไปเที่ยวด้วยกัน ฉันรู้สึกดีขึ้นเยอะเลย","ขอบใจมากยิ่งนักที่เข้าใจและอยากไปเที่ยวด้วยกัน ข้ารู้สึกดีขึ้นเยอะเลย"
B,"ไม่เป็นไรเลย เราเป็นเพื่อนกันนี่นา ไปเที่ยวให้สนุกกันนะ","มิเป็นไรเลย เราเป็นสหายกันนี่หนา ไปเที่ยวให้สนุกสนานกันหนอ"
A,"ฉันกำลังคิดว่าอยากจะลองเริ่มต้นทำธุรกิจเล็กๆ ของตัวเองดู เธอคิดว่าไง","ข้ากำลังคิดว่าอยากจักลองเริ่มต้นทำธุรกิจเล็กๆ ของตนเองดู ท่านคิดเห็นเป็นฉันใด"
B,"ฉันว่ามันเป็นความคิดที่ดีนะ ถ้าเธอมีความฝันและตั้งใจทำจริงจัง ฉันสนับสนุนเต็มที่","เราว่ามันเป็นความคิดที่ดีหนา หากท่านมีความฝันและตั้งใจทำจริงจัง ข้าสนับสนุนเต็มที่"
A,"ขอบคุณมากเลยนะที่ให้กำลังใจ ฉันรู้สึกมั่นใจขึ้นเยอะเลย เธอมีคำแนะนำอะไรบ้างไหม","ขอบใจมากยิ่งนักที่ให้กำลังใจ ข้ารู้สึกมั่นใจขึ้นเยอะเลย ท่านมีคำแนะนำสิ่งใดบ้างฤๅไม่"
B,"ลองศึกษาตลาดและวางแผนธุรกิจให้รอบคอบก่อนนะ แล้วก็อย่ากลัวที่จะลองผิดลองถูก","จงลองศึกษาตลาดและวางแผนธุรกิจให้รอบคอบก่อนหนา แล้วก็อย่ากลัวที่จะลองผิดลองถูก"
