Speaker,Modern Thai,Thai Boran
A,"ฉันรู้สึกว่าช่วงนี้งานยุ่งมากจนไม่มีเวลาทำอะไรเลย เธอมีวิธีจัดการยังไงบ้างไหม","ข้ารู้สึกว่าช่วงนี้งานยุ่งมากจนไม่มีเวลาทำสิ่งใดเลย ท่านมีวิธีจัดการฉันใดบ้างฤๅไม่"
B,"ฉันใช้วิธีจัดลำดับความสำคัญของงาน แล้วก็พยายามทำทีละอย่าง มันช่วยให้ไม่รู้สึกว่างานมันเยอะเกินไป","ข้าใช้วิธีจัดลำดับความสำคัญของงาน แล้วก็พยายามทำทีละอย่าง มันช่วยให้ไม่รู้สึกว่างานมันเยอะเกินไป"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองเอาไปปรับใช้ดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองเอาไปปรับใช้ดู ขอบใจมากหนอ"
B,"ไม่เป็นไรเลย ลองดูนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","มิเป็นไรเลย จงลองดูหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีพลังงานเลย เธอพอจะมีวิธีทำให้รู้สึกกระปรี้กระเปร่าขึ้นไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีพลังงานเลย ท่านพอมีวิธีทำให้รู้สึกกระปรี้กระเปร่าขึ้นฤๅไม่"
B,"ลองออกกำลังกายเบาๆ ดูไหม แล้วก็พักผ่อนให้เพียงพอ มันจะช่วยให้ร่างกายมีพลังงานมากขึ้นนะ","จงออกกำลังกายเบาๆ ดูฤๅไม่ แล้วก็พักผ่อนให้เพียงพอ มันจักช่วยให้ร่างกายมีพลังงานมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอรู้สึกกระปรี้กระเปร่าขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านรู้สึกกระปรี้กระเปร่าขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่มีสมาธิในการเรียนเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่มีสมาธิในการศึกษาเรียนเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองหาที่เงียบๆ อ่านหนังสือ แล้วก็พยายามทำสมาธิก่อนเรียน มันจะช่วยให้มีสมาธิในการเรียนมากขึ้นนะ","จงหาที่เงียบๆ อ่านหนังสือ แล้วก็พยายามทำสมาธิก่อนศึกษาเรียน มันจักช่วยให้มีสมาธิในการศึกษาเรียนมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีสมาธิในการเรียนมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีสมาธิในการศึกษาเรียนมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความจำดีเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความจำดีเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองฝึกทบทวนสิ่งที่เรียนไปบ่อยๆ แล้วก็พยายามเชื่อมโยงความรู้ใหม่กับความรู้เก่า มันจะช่วยให้จำได้ดีขึ้นนะ","จงฝึกทบทวนสิ่งที่ศึกษาเรียนไปบ่อยๆ แล้วก็พยายามเชื่อมโยงความรู้ใหม่กับความรู้เก่า มันจักช่วยให้จำได้ดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความจำที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความจำที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการนำเสนอเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการนำเสนอเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองฝึกพูดหน้ากระจก หรือไม่ก็ลองหาโอกาสไปนำเสนอในที่สาธารณะ มันจะช่วยให้ทักษะการนำเสนอดีขึ้นนะ","จงฝึกพูดหน้ากระจก หรือไม่ก็จงหาโอกาสไปนำเสนอในที่สาธารณะ มันจักช่วยให้ทักษะการนำเสนอดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการนำเสนอที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการนำเสนอที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการทำงานเป็นทีมเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการทำงานเป็นทีมเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองรับฟังความคิดเห็นของคนอื่น แล้วก็พยายามทำในส่วนที่ตัวเองได้รับมอบหมายให้ดีที่สุด มันจะช่วยให้ทำงานเป็นทีมได้ดีขึ้นนะ","จงรับฟังความคิดเห็นของคนอื่น แล้วก็พยายามทำในส่วนที่ตนเองได้รับมอบหมายให้ดีที่สุด มันจักช่วยให้ทำงานเป็นทีมได้ดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการทำงานเป็นทีมที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการทำงานเป็นทีมที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความคิดวิเคราะห์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความคิดวิเคราะห์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองตั้งคำถามกับสิ่งต่างๆ ดู แล้วก็พยายามคิดหาเหตุผลของมัน มันจะช่วยให้มีความคิดวิเคราะห์มากขึ้นนะ","จงตั้งคำถามกับสิ่งต่างๆ ดู แล้วก็พยายามคิดหาเหตุผลของมัน มันจักช่วยให้มีความคิดวิเคราะห์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความคิดวิเคราะห์มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความคิดวิเคราะห์มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการแก้ปัญหาเฉพาะหน้าเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการแก้ปัญหาเฉพาะหน้าเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองฝึกคิดหาทางออกหลายๆ ทาง แล้วก็พยายามตัดสินใจเลือกทางออกที่ดีที่สุด มันจะช่วยให้แก้ปัญหาเฉพาะหน้าได้ดีขึ้นนะ","จงฝึกคิดหาทางออกหลายๆ ทาง แล้วก็พยายามตัดสินใจเลือกทางออกที่ดีที่สุด มันจักช่วยให้แก้ปัญหาเฉพาะหน้าได้ดีขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการแก้ปัญหาเฉพาะหน้าที่ดีขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการแก้ปัญหาเฉพาะหน้าที่ดีขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
