Speaker,Modern Thai,Thai Boran
A,"ที่รัก วันนี้เธอสวยเป็นพิเศษเลยนะ","ที่รัก วันนี้ท่านงามเป็นพิเศษเลยหนา"
B,"จริงเหรอ ขอบคุณนะ ที่รักก็หล่อเหมือนกันนะวันนี้","จริงฤๅ ขอบใจหนา ที่รักก็หล่อเหลาเช่นกันหนา วันนี้"
A,"เธอทำให้ฉันมีความสุขมากๆ เลยนะ","ท่านทำให้ข้ามีความสุขมากๆ เลยหนา"
B,"ฉันก็มีความสุขที่ได้อยู่กับเธอนะ","ข้าก็มีความสุขที่ได้อยู่กับท่านหนา"
A,"คิดถึงเธอจังเลย อยากเจอหน้าเธอทุกวัน","คิดถึงท่านยิ่งนัก อยากพบหน้าท่านทุกวัน"
B,"ฉันก็คิดถึงเธอเหมือนกัน รีบมาเจอกันเร็วๆ นะ","ข้าก็คิดถึงท่านเช่นกัน รีบมาพบกันโดยเร็วนะ"
A,"เธอเป็นคนพิเศษสำหรับฉันมากๆ เลยนะ","ท่านเป็นคนพิเศษสำหรับข้ามากๆ เลยหนา"
B,"เธอเองก็เป็นคนพิเศษสำหรับฉันเหมือนกัน","ท่านเองก็เป็นคนพิเศษสำหรับข้าเช่นกัน"
A,"อยากใช้เวลาอยู่กับเธอตลอดไปเลย","อยากใช้เวลาอยู่กับท่านตลอดไปเลย"
B,"ฉันก็อยากอยู่กับเธอตลอดไปเหมือนกันนะ","ข้าก็อยากอยู่กับท่านตลอดไปเช่นกันหนา"
A,"เธอทำให้ฉันยิ้มได้เสมอเลยนะ","ท่านทำให้ข้ายิ้มได้เสมอเลยหนา"
B,"ฉันก็ดีใจที่ได้เห็นเธอยิ้มนะ","ข้าก็ดีใจที่ได้เห็นท่านยิ้มหนา"
A,"เธอเป็นกำลังใจของฉันเสมอเลยนะ","ท่านเป็นกำลังใจของข้าเสมอเลยหนา"
B,"ฉันก็จะเป็นกำลังใจให้เธอเสมอเหมือนกัน","ข้าก็จักเป็นกำลังใจให้ท่านเสมอเช่นกัน"
A,"ฉันรักเธอมากนะ ที่รัก","ข้ารักท่านมากหนา ที่รัก"
B,"ฉันก็รักเธอมากเหมือนกันนะ","ข้าก็รักท่านมากเช่นกันหนา"
A,"อยากกอดเธอจังเลย คิดถึงสัมผัสของเธอ","อยากกอดท่านยิ่งนัก คิดถึงสัมผัสของท่าน"
B,"ฉันก็อยากกอดเธอเหมือนกัน มาให้กอดหน่อยเร็ว","ข้าก็อยากกอดท่านเช่นกัน มาให้กอดหน่อยเร็ว"
A,"เธอคือทุกสิ่งทุกอย่างของฉันเลยนะ","ท่านคือทุกสิ่งทุกอย่างของข้าเลยหนา"
B,"เธอเองก็คือทุกสิ่งทุกอย่างของฉันเหมือนกัน","ท่านเองก็คือทุกสิ่งทุกอย่างของข้าเช่นกัน"
A,"อยากดูแลเธอไปตลอดชีวิตเลย","อยากดูแลท่านไปตลอดชีวิตเลย"
B,"ฉันก็จะดูแลเธอไปตลอดชีวิตเหมือนกันนะ","ข้าก็จักดูแลท่านไปตลอดชีวิตเช่นกันหนา"
A,"เธอทำให้ฉันรู้สึกเหมือนฝันเลยนะ","ท่านทำให้ข้ารู้สึกเหมือนฝันเลยหนา"
B,"ฉันก็รู้สึกเหมือนฝันที่ได้เจอเธอเหมือนกัน","ข้าก็รู้สึกเหมือนฝันที่ได้พบท่านเช่นกัน"
A,"อยากมอบความรักทั้งหมดที่มีให้เธอเลย","อยากมอบความรักทั้งหมดที่มีให้ท่านเลย"
B,"ฉันก็จะมอบความรักทั้งหมดที่มีให้เธอเหมือนกัน","ข้าก็จักมอบความรักทั้งหมดที่มีให้ท่านเช่นกัน"
A,"เธอเป็นของขวัญที่ดีที่สุดในชีวิตฉันเลยนะ","ท่านเป็นของขวัญที่ดีที่สุดในชีวิตข้าเลยหนา"
