Speaker,Modern Thai,Thai Boran
A,"ที่รัก ตั้งแต่ที่เราได้รู้จักกันมา ฉันรู้สึกว่าชีวิตฉันมันดีขึ้นในทุกๆ ด้านเลยนะ เธอทำให้ฉันมีความสุขมากจริงๆ","ที่รัก ตั้งแต่ที่เราได้รู้จักกันมา ข้ารู้สึกว่าชีวิตข้ามันดีขึ้นในทุกๆ ด้านเลยหนา ท่านทำให้ข้ามีความสุขมากจริงๆ"
B,"ฉันก็รู้สึกเหมือนกันนะ ที่รัก ตั้งแต่มีเธอเข้ามาในชีวิต ฉันก็รู้สึกว่าทุกๆ วันมันมีความหมายและสดใสขึ้นกว่าเดิมเยอะเลย","ข้าก็รู้สึกเช่นกันหนา ที่รัก ตั้งแต่มีท่านเข้ามาในชีวิต ข้าก็รู้สึกว่าทุกๆ วันมันมีความหมายและสดใสขึ้นกว่าเดิมเยอะเลย"
A,"ฉันอยากจะขอบคุณเธอมากๆ เลยนะ ที่เข้ามาในชีวิตฉันและทำให้ฉันเป็นคนที่ดีขึ้น เธอคือของขวัญที่ล้ำค่าที่สุดสำหรับฉันเลย","ข้าอยากจะขอบคุณท่านมากๆ เลยหนา ที่เข้ามาในชีวิตข้าและทำให้ข้าเป็นคนที่ดีขึ้น ท่านคือของขวัญที่ล้ำค่าที่สุดสำหรับข้าเลย"
B,"ไม่เป็นไรเลยนะ ที่รัก ฉันก็อยากจะขอบคุณเธอเหมือนกัน ที่ทำให้ฉันได้รู้จักความรักที่แท้จริง และทำให้ฉันรู้สึกว่าตัวเองมีค่ามากขึ้น","มิเป็นไรเลยหนา ที่รัก ข้าก็อยากจักขอบคุณท่านเช่นกัน ที่ทำให้ข้าได้รู้จักความรักที่แท้จริง และทำให้ข้ารู้สึกว่าตนเองมีค่ามากขึ้น"
A,"ฉันอยากจะบอกเธอว่าฉันรักเธอมากแค่ไหน แต่คำพูดมันก็ไม่สามารถบรรยายความรู้สึกที่ฉันมีต่อเธอได้ทั้งหมดจริงๆ","ข้าอยากจักบอกท่านว่าข้ารักท่านมากแค่ไหน แต่คำพูดมันก็มิสามารถบรรยายความรู้สึกที่ข้ามีต่อท่านได้ทั้งหมดจริงๆ"
B,"ฉันก็เข้าใจนะ ที่รัก ฉันก็รักเธอมากจนไม่รู้จะอธิบายออกมาเป็นคำพูดยังไงเหมือนกัน ความรู้สึกของฉันมันลึกซึ้งเกินกว่าจะพูดได้","ข้าก็เข้าใจหนา ที่รัก ข้าก็รักท่านมากจนมิรู้จะอธิบายออกมาเป็นคำพูดยังไงเช่นกัน ความรู้สึกของข้ามันลึกซึ้งเกินกว่าจักพูดได้"
A,"ฉันอยากจะใช้เวลาที่เหลืออยู่กับเธอให้คุ้มค่าที่สุด อยากจะสร้างความทรงจำดีๆ ไปด้วยกันตลอดชีวิตเลย","ข้าอยากจักใช้เวลาที่เหลืออยู่กับท่านให้คุ้มค่าที่สุด อยากจักสร้างความทรงจำดีๆ ไปด้วยกันตลอดชีวิตเลย"
B,"ฉันก็อยากจะใช้ชีวิตที่เหลืออยู่กับเธอเหมือนกันนะ ที่รัก อยากจะอยู่ข้างๆ เธอไม่ว่าอะไรจะเกิดขึ้นก็ตาม เราจะผ่านทุกอย่างไปด้วยกัน","ข้าก็อยากจักใช้ชีวิตที่เหลืออยู่กับท่านเช่นกันหนา ที่รัก อยากจักอยู่ข้างๆ ท่านไม่ว่าอะไรจะเกิดขึ้นก็ตาม เราจักผ่านทุกอย่างไปด้วยกัน"
A,"เมื่อฉันมองเข้าไปในดวงตาของเธอ ฉันรู้สึกเหมือนว่าฉันได้เจอคนที่ฉันรอมาทั้งชีวิตเลย มันทำให้ฉันมีความสุขและอบอุ่นหัวใจมากๆ","เมื่อข้ามองเข้าไปในดวงตาของท่าน ข้ารู้สึกเหมือนว่าข้าได้พบคนที่ข้ารอมาทั้งชีวิตเลย มันทำให้ข้ามีความสุขและอบอุ่นหัวใจมากๆ"
B,"ฉันก็รู้สึกเหมือนกันนะ ที่รัก เวลาที่ฉันมองเข้าไปในดวงตาของเธอ ฉันรู้สึกเหมือนว่าได้เจอคนที่ฉันสามารถฝากชีวิตไว้ได้ เธอทำให้ฉันรู้สึกปลอดภัยและมีความสุขมากๆ","ข้าก็รู้สึกเช่นกันหนา ที่รัก เวลาที่ข้ามองเข้าไปในดวงตาของท่าน ข้ารู้สึกเหมือนว่าได้พบคนที่ข้าสามารถฝากชีวิตไว้ได้ ท่านทำให้ข้ารู้สึกปลอดภัยและมีความสุขมากๆ"
A,"ฉันอยากจะบอกเธอว่าทุกๆ รอยยิ้มของเธอ มันทำให้ฉันมีความสุขตามไปด้วย และฉันอยากจะเห็นรอยยิ้มของเธอไปตลอดชีวิต","ข้าอยากจักบอกท่านว่าทุกๆ รอยยิ้มของท่าน มันทำให้ข้ามีความสุขตามไปด้วย และข้าอยากจักเห็นรอยยิ้มของท่านไปตลอดชีวิต"
B,"ฉันก็อยากจะบอกเธอว่าทุกๆ ครั้งที่ฉันได้เห็นรอยยิ้มของเธอ ฉันก็รู้สึกมีความสุขอย่างบอกไม่ถูก และฉันก็จะยิ้มให้เธอแบบนี้ไปตลอดเหมือนกัน","ข้าก็อยากจักบอกท่านว่าทุกๆ ครั้งที่ข้าได้เห็นรอยยิ้มของท่าน ข้าก็รู้สึกมีความสุขอย่างบอกมิถูก และข้าจักยิ้มให้ท่านแบบนี้ไปตลอดเช่นกัน"
A,"ฉันอยากจะให้เธอรู้ว่าเธอเป็นแรงบันดาลใจที่สำคัญของฉัน เธอทำให้ฉันอยากจะเป็นคนที่ดีขึ้น และทำสิ่งต่างๆ ให้สำเร็จเพื่อเธอ","ข้าอยากจักให้ท่านรู้ว่าท่านเป็นแรงบันดาลใจที่สำคัญของข้า ท่านทำให้ข้าอยากจักเป็นคนที่ดีขึ้น และทำสิ่งต่างๆ ให้สำเร็จเพื่อท่าน"
B,"ฉันก็อยากจะบอกเธอว่าเธอเป็นแรงบันดาลใจให้ฉันเหมือนกันนะ ที่รัก ฉันอยากจะทำให้เธอภูมิใจ และฉันจะพยายามทำทุกอย่างให้ดีที่สุดเพื่อความรักของเรา","ข้าก็อยากจักบอกท่านว่าท่านเป็นแรงบันดาลใจให้ข้าเช่นกันหนา ที่รัก ข้าอยากจักทำให้ท่านภูมิใจ และข้าจักพยายามทำทุกอย่างให้ดีที่สุดเพื่อความรักของเรา"
A,"ฉันอยากจะสัญญาว่าจะรักและดูแลเธอให้ดีที่สุดเท่าที่ฉันจะทำได้ จะไม่ทำให้เธอเสียใจ และจะอยู่ข้างๆ เธอเสมอไม่ว่าอะไรจะเกิดขึ้น","ข้าอยากจักสัญญาว่าจะรักและดูแลท่านให้ดีที่สุดเท่าที่ข้าจักทำได้ จักไม่ทำให้ท่านเสียใจ และจักอยู่ข้างๆ ท่านเสมอไม่ว่าอะไรจะเกิดขึ้น"
B,"ฉันก็อยากจะสัญญาเหมือนกันนะ ที่รัก ว่าฉันจะรักและดูแลเธอให้ดีที่สุด จะซื่อสัตย์และภักดีต่อเธอ และจะอยู่เคียงข้างเธอไปตลอดชีวิต","ข้าก็อยากจักสัญญาเช่นกันหนา ที่รัก ว่าข้าจักรักและดูแลท่านให้ดีที่สุด จักซื่อสัตย์และภักดีต่อท่าน และจักอยู่เคียงข้างท่านไปตลอดชีวิต"
